River,Latitude,Longitude
Alplaus Kill,42.929667,-73.98266
Ballston Creek,42.959150,-73.819983
Batten Kill,43.097365,-73.141413
Beaver Kill,42.068748,-74.204728
Big Brook,43.320439,-75.34429
Boreas River,43.891673,-74.01499
Bullhead Pond Brook,43.80754,-74.04173
Cadman Creek,43.101747,-74.042986
Cedar River,43.792586,-74.289163
Chester Creek,43.668422,-73.788225
Cobleskill Creek,42.710005,-74.333995
Daly Creek,43.269326,-73.955921
Evas Kill,42.928424,-74.127628
Fawn Lake,42.568064,-74.176195
Fishkill Creek,41.586321,-73.745521
Four Mile Brook,43.376747,-74.779332
Green River,43.103223,-73.211105
Hans Creek,43.127709,-74.10272
Hudson River,44.01607,-74.054193
Indian Brook,41.411259,-73.914359
Indian Kill,42.871055,-73.908615
Jassup River,43.582428,-74.40676
Kayaderosseras Creek,43.01922,-73.830175
Kennyetto Creek,43.070084,-74.156658
Keyser Kill,42.490725,-74.36027
Kinderhook Creek,42.492657,-73.451472
Landsman Kill,41.923326,-73.910993
Lansing Kill,43.404334,-75.344078
Mill Brook,43.763674,-73.754512
Mill Creek,43.404398,-74.252016
Minots Corner,43.091945,-75.064318
Mohawk River,43.001598,-74.546771
New Pond Brook,44.076053,-73.659537
North Branch West Stony Breek,43.252166,-74.328505
Paragon Brook,43.887672,-73.643238
Plotter Kill,42.845497,-74.012915
Potic Creek,42.275279,-73.928113
Quacken Kill,42.748357,-73.563029
Robbs Creek,43.509772,-74.286186
Roeliff Jansen Kill,42.006207,-73.715742
Saw Kill,42.037053,-74.123401
Sheriff Lake Outlet,43.390122,-74.593997
Snook Kill,43.198531,-73.655411
Sprout Creek,41.581503,-73.852583
Steele Creek,42.994894,-75.060868
Sterling Creek,43.139072,-75.090916
Stewart Creek,43.530026,-74.144775
Stony Creek,42.046664,-73.910765
Timmerman Creek,43.056705,-74.627278
Trout Brook,43.755304,-73.880445
Valatie Kill,42.442041,-73.665175
Wappinger Creek,41.756316,-73.817385
Wharton Hollow Creek,42.527149,-74.567477
