Source,Species,Treatment,Dead,Alive
greenline,BiFr,bury,9,3
greenline,BiFr,control,6,6
greenline,BiFr,fertilizer,6,6
greenline,BiFr,flood,2,10
upslope,MaVu,bury,10,2
upslope,MaVu,control,7,5
upslope,MaVu,fertilizer,8,4
upslope,MaVu,flood,12,0
greenline,PoPe,bury,10,2
greenline,PoPe,control,11,1
greenline,PoPe,fertilizer,11,1
greenline,PoPe,flood,8,4
upslope,PoVi,bury,9,3
upslope,PoVi,control,11,1
upslope,PoVi,fertilizer,5,7
upslope,PoVi,flood,1,11
greenline,PrVu,bury,7,5
greenline,PrVu,control,8,4
greenline,PrVu,fertilizer,4,8
greenline,PrVu,flood,0,12
upslope,SoFl,bury,10,2
upslope,SoFl,control,11,1
upslope,SoFl,fertilizer,9,3
upslope,SoFl,flood,7,5
