,PD,SR
Alplaus Kill,5816.92514,38
Ballston Creek,7009.559083,44
Battenkill,5286.601786,27
Beaver Kill,4223.854185,24
Big Brook,4161.47729,28
Boreas River,4643.82043,26
Bullhead Pond Brook,3550.54118,16
Cadman Creek,6942.613787,43
Cedar River,4964.596926,29
Chester Creek,3640.557428,19
Cobleskill Creek,3968.851478,28
Daly Creek,5933.424074,30
Evas Kill,5300.606107,36
Fawn Lake,5939.507619,37
Fishkill Creek,3355.665622,19
Four Mile Brook,4340.856414,27
Green River,2598.863648,14
Hans Creek,5579.047741,33
Hudson River,3659.971654,19
Indian Brook,4635.151538,26
Indian Kill,6252.299883,41
Jassup River,3245.113695,16
Kayaderosseras Creek,4041.01735,28
Kennyetto Creek,4192.926167,22
Keyser Kill,5668.04655,39
Kinderhook Creek,6599.421051,42
Landsman Kill,4179.745716,30
Lansing Kill,4757.954626,30
Mill Brook,4836.158083,26
Mill Creek,5176.331285,31
Minots Corner Road,4384.540112,24
Mohawk River,4766.412399,26
New Pond Brook,3773.44704,19
North Branch West Stony Creek,4912.207894,28
Paragon Brook,4701.250073,26
Plotter Kill,3571.323056,24
Potic Creek,5840.054218,34
Quacken Kill,6861.423235,47
Robbs Creek,5653.127813,35
Roeliff Jansen Kill,5129.833647,30
Saw Kill,3687.727348,19
Sherriff Lake Outlet,5689.458983,31
Snook Kill,6108.977326,40
Sprout Creek,4145.151549,21
Steele Creek,2788.295462,18
Sterling Creek,6451.461101,40
Stewart Creek,5288.988223,30
Stony Creek,4660.116374,29
Timmerman Creek,4758.42538,23
Trout Brook,4913.858327,25
Valatie Kill,3701.818242,18
Wappinger Creek,3135.653434,15
Wharton Hollow Creek,4221.45294,26
